Sugar GRN,weight_grn_i1,pre_group,post_group,I1,I2,weight_i1_i2,weight_i2_i3,I3,IPC,weight_i3_ipc,path_length
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940626308697,88,84,720575940610708430,720575940612923390,36,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940626308697,88,84,720575940610708430,720575940625379859,31,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940626308697,88,84,720575940610708430,720575940628199802,28,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940626308697,88,84,720575940610708430,720575940643539566,27,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940626308697,88,84,720575940610708430,720575940620628957,27,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940626308697,88,84,720575940610708430,720575940631884883,26,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940626308697,88,84,720575940610708430,720575940624064295,25,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940626308697,88,84,720575940610708430,720575940632436307,25,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940626308697,88,84,720575940610708430,720575940618694827,17,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940626308697,88,84,720575940610708430,720575940614623455,17,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940626308697,88,84,720575940610708430,720575940611254681,13,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940626308697,88,84,720575940610708430,720575940615911380,6,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940632602532,45,8,720575940614950194,720575940625379859,5,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940630664556,44,5,720575940631915801,720575940615043112,5,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940623333964,34,19,720575940625053773,720575940615043112,6,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940639813365,22,6,720575940610708430,720575940615043112,44,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940639813365,22,6,720575940610708430,720575940612923390,36,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940639813365,22,6,720575940610708430,720575940625379859,31,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940639813365,22,6,720575940610708430,720575940628199802,28,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940639813365,22,6,720575940610708430,720575940643539566,27,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940639813365,22,6,720575940610708430,720575940620628957,27,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940639813365,22,6,720575940610708430,720575940631884883,26,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940639813365,22,6,720575940610708430,720575940624064295,25,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940639813365,22,6,720575940610708430,720575940632436307,25,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940639813365,22,6,720575940610708430,720575940618694827,17,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940639813365,22,6,720575940610708430,720575940614623455,17,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940639813365,22,6,720575940610708430,720575940611254681,13,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940639813365,22,6,720575940610708430,720575940615911380,6,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940622457579,16,11,720575940613845516,720575940614623455,8,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940622457579,16,11,720575940613845516,720575940620628957,7,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940622457579,16,6,720575940623777065,720575940615043112,5,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940617184001,15,12,720575940633304601,720575940632436307,62,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940617184001,15,12,720575940633304601,720575940620628957,28,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940617184001,15,12,720575940633304601,720575940625379859,19,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940617184001,15,12,720575940633304601,720575940611254681,18,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940617184001,15,12,720575940633304601,720575940615043112,15,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940617184001,15,12,720575940633304601,720575940612923390,11,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940617184001,15,12,720575940633304601,720575940614623455,9,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940617184001,15,12,720575940631309866,720575940611254681,8,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940617184001,15,7,720575940631008824,720575940643539566,53,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940617184001,15,7,720575940631008824,720575940615043112,40,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940617184001,15,7,720575940631008824,720575940628199802,34,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940617184001,15,7,720575940631008824,720575940625379859,33,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940617184001,15,7,720575940631008824,720575940611254681,33,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940617184001,15,7,720575940631008824,720575940612923390,28,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940617184001,15,7,720575940631008824,720575940618694827,22,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940617184001,15,7,720575940631008824,720575940624064295,21,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940617184001,15,7,720575940631008824,720575940631884883,20,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940617184001,15,7,720575940631008824,720575940615911380,9,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940617184001,15,7,720575940631008824,720575940632436307,6,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940630311528,14,7,720575940631309866,720575940611254681,8,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940630311528,14,6,720575940633304601,720575940632436307,62,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940630311528,14,6,720575940633304601,720575940620628957,28,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940630311528,14,6,720575940633304601,720575940625379859,19,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940630311528,14,6,720575940633304601,720575940611254681,18,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940630311528,14,6,720575940633304601,720575940615043112,15,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940630311528,14,6,720575940633304601,720575940612923390,11,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940630311528,14,6,720575940633304601,720575940614623455,9,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940627492866,13,45,720575940615792523,720575940632436307,36,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940627492866,13,45,720575940615792523,720575940611254681,13,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940627492866,13,5,720575940642715040,720575940632436307,8,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940607777628,9,10,720575940613845516,720575940614623455,8,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940607777628,9,10,720575940613845516,720575940620628957,7,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940607777628,9,9,720575940633304601,720575940632436307,62,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940607777628,9,9,720575940633304601,720575940620628957,28,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940607777628,9,9,720575940633304601,720575940625379859,19,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940607777628,9,9,720575940633304601,720575940611254681,18,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940607777628,9,9,720575940633304601,720575940615043112,15,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940607777628,9,9,720575940633304601,720575940612923390,11,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940607777628,9,9,720575940633304601,720575940614623455,9,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940629317450,8,7,720575940619025780,720575940628199802,7,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940629317450,8,7,720575940619025780,720575940615911380,5,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940629317450,8,6,720575940630311528,720575940620628957,5,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940607472988,6,9,720575940624454221,720575940620628957,5,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940607472988,6,9,720575940624454221,720575940615043112,5,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940607472988,6,9,720575940624454221,720575940611254681,5,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940621138977,6,6,720575940613845516,720575940614623455,8,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940621138977,6,6,720575940613845516,720575940620628957,7,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940632636959,6,6,720575940631309866,720575940611254681,8,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940621736669,5,5,720575940626021052,720575940628199802,9,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940621736669,5,5,720575940626021052,720575940618694827,5,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940617155558,5,11,720575940633304601,720575940632436307,62,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940617155558,5,11,720575940633304601,720575940620628957,28,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940617155558,5,11,720575940633304601,720575940625379859,19,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940617155558,5,11,720575940633304601,720575940611254681,18,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940617155558,5,11,720575940633304601,720575940615043112,15,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940617155558,5,11,720575940633304601,720575940612923390,11,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940617155558,5,11,720575940633304601,720575940614623455,9,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940617155558,5,9,720575940631008824,720575940643539566,53,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940617155558,5,9,720575940631008824,720575940615043112,40,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940617155558,5,9,720575940631008824,720575940628199802,34,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940617155558,5,9,720575940631008824,720575940625379859,33,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940617155558,5,9,720575940631008824,720575940611254681,33,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940617155558,5,9,720575940631008824,720575940612923390,28,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940617155558,5,9,720575940631008824,720575940618694827,22,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940617155558,5,9,720575940631008824,720575940624064295,21,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940617155558,5,9,720575940631008824,720575940631884883,20,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940617155558,5,9,720575940631008824,720575940615911380,9,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940617155558,5,9,720575940631008824,720575940632436307,6,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940617155558,5,6,720575940623777065,720575940615043112,5,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940622369718,5,16,720575940625053773,720575940615043112,6,4
720575940621502051,6,Sugar GRNs,,720575940625102692,720575940626982165,5,5,720575940623777065,720575940615043112,5,4
720575940632425919,6,Sugar GRNs,,720575940630689644,720575940623338281,28,7,720575940631309866,720575940611254681,8,4
720575940632425919,6,Sugar GRNs,,720575940630689644,720575940632407826,20,26,720575940610708430,720575940650527222,56,4
720575940632425919,6,Sugar GRNs,,720575940630689644,720575940632407826,20,26,720575940610708430,720575940603765280,45,4
720575940632425919,6,Sugar GRNs,,720575940630689644,720575940632407826,20,26,720575940610708430,720575940615043112,44,4
720575940632425919,6,Sugar GRNs,,720575940630689644,720575940632407826,20,26,720575940610708430,720575940612923390,36,4
720575940632425919,6,Sugar GRNs,,720575940630689644,720575940632407826,20,26,720575940610708430,720575940625379859,31,4
720575940632425919,6,Sugar GRNs,,720575940630689644,720575940632407826,20,26,720575940610708430,720575940622897639,30,4
720575940632425919,6,Sugar GRNs,,720575940630689644,720575940632407826,20,26,720575940610708430,720575940628199802,28,4
720575940632425919,6,Sugar GRNs,,720575940630689644,720575940632407826,20,26,720575940610708430,720575940643539566,27,4
720575940632425919,6,Sugar GRNs,,720575940630689644,720575940632407826,20,26,720575940610708430,720575940620628957,27,4
720575940632425919,6,Sugar GRNs,,720575940630689644,720575940632407826,20,26,720575940610708430,720575940631884883,26,4
720575940632425919,6,Sugar GRNs,,720575940630689644,720575940632407826,20,26,720575940610708430,720575940624064295,25,4
720575940632425919,6,Sugar GRNs,,720575940630689644,720575940632407826,20,26,720575940610708430,720575940623081400,24,4
720575940632425919,6,Sugar GRNs,,720575940630689644,720575940632407826,20,26,720575940610708430,720575940628363820,22,4
720575940632425919,6,Sugar GRNs,,720575940630689644,720575940632407826,20,26,720575940610708430,720575940618694827,17,4
720575940632425919,6,Sugar GRNs,,720575940630689644,720575940632407826,20,26,720575940610708430,720575940614623455,17,4
720575940632425919,6,Sugar GRNs,,720575940630689644,720575940632407826,20,26,720575940610708430,720575940611254681,13,4
720575940632425919,6,Sugar GRNs,,720575940630689644,720575940632407826,20,26,720575940610708430,720575940615911380,6,4
720575940632425919,6,Sugar GRNs,,720575940630689644,720575940632524559,19,16,720575940610708430,720575940650527222,56,4
720575940632425919,6,Sugar GRNs,,720575940630689644,720575940632524559,19,16,720575940610708430,720575940603765280,45,4
720575940632425919,6,Sugar GRNs,,720575940630689644,720575940632524559,19,16,720575940610708430,720575940615043112,44,4
720575940632425919,6,Sugar GRNs,,720575940630689644,720575940632524559,19,16,720575940610708430,720575940612923390,36,4
720575940632425919,6,Sugar GRNs,,720575940630689644,720575940632524559,19,16,720575940610708430,720575940625379859,31,4
720575940632425919,6,Sugar GRNs,,720575940630689644,720575940632524559,19,16,720575940610708430,720575940622897639,30,4
