Sugar GRN,IPC,hops
720575940632425919,720575940618694827,4
720575940617000768,720575940618694827,4
720575940637568838,720575940618694827,4
720575940629176663,720575940618694827,4
720575940621502051,720575940618694827,4
720575940611875570,720575940618694827,4
720575940621754367,720575940618694827,4
720575940633143833,720575940618694827,4
720575940613601698,720575940618694827,4
720575940630797113,720575940618694827,4
720575940639198653,720575940618694827,4
720575940624963786,720575940618694827,4
720575940640649691,720575940618694827,4
720575940610788069,720575940618694827,4
720575940623172843,720575940618694827,4
720575940628853239,720575940618694827,4
720575940630233916,720575940632436307,4
720575940639332736,720575940632436307,4
720575940632889389,720575940632436307,4
720575940617000768,720575940632436307,4
720575940637568838,720575940632436307,4
720575940629176663,720575940632436307,4
720575940621502051,720575940632436307,4
720575940638202345,720575940632436307,4
720575940611875570,720575940632436307,4
720575940621754367,720575940632436307,4
720575940633143833,720575940632436307,4
720575940613601698,720575940632436307,4
720575940630797113,720575940632436307,4
720575940639259967,720575940632436307,4
720575940624963786,720575940632436307,4
720575940640649691,720575940632436307,4
720575940623172843,720575940632436307,4
720575940616885538,720575940614623455,4
720575940630233916,720575940614623455,4
720575940639332736,720575940614623455,4
720575940632889389,720575940614623455,4
720575940632425919,720575940614623455,4
720575940617000768,720575940614623455,4
720575940637568838,720575940614623455,4
720575940629176663,720575940614623455,4
720575940621502051,720575940614623455,4
720575940611875570,720575940614623455,4
720575940621754367,720575940614623455,4
720575940633143833,720575940614623455,4
720575940613601698,720575940614623455,4
720575940630797113,720575940614623455,4
720575940639198653,720575940614623455,4
720575940624963786,720575940614623455,4
720575940640649691,720575940614623455,4
720575940610788069,720575940614623455,4
720575940623172843,720575940614623455,4
720575940628853239,720575940614623455,4
720575940616885538,720575940624064295,4
720575940630233916,720575940624064295,4
720575940639332736,720575940624064295,4
720575940632889389,720575940624064295,4
720575940632425919,720575940624064295,4
720575940617000768,720575940624064295,4
720575940637568838,720575940624064295,4
720575940629176663,720575940624064295,4
720575940621502051,720575940624064295,4
720575940638202345,720575940624064295,4
720575940612670570,720575940624064295,4
720575940611875570,720575940624064295,4
720575940621754367,720575940624064295,4
720575940633143833,720575940624064295,4
720575940613601698,720575940624064295,4
720575940630797113,720575940624064295,4
720575940639198653,720575940624064295,4
720575940639259967,720575940624064295,4
720575940624963786,720575940624064295,4
720575940640649691,720575940624064295,4
720575940610788069,720575940624064295,4
720575940623172843,720575940624064295,4
720575940628853239,720575940624064295,4
720575940616885538,720575940620628957,4
720575940630233916,720575940620628957,4
720575940639332736,720575940620628957,4
720575940632889389,720575940620628957,4
720575940632425919,720575940620628957,4
720575940617000768,720575940620628957,4
720575940637568838,720575940620628957,4
720575940629176663,720575940620628957,4
720575940621502051,720575940620628957,4
720575940638202345,720575940620628957,4
720575940612670570,720575940620628957,4
720575940611875570,720575940620628957,4
720575940621754367,720575940620628957,4
720575940633143833,720575940620628957,4
720575940613601698,720575940620628957,4
720575940630797113,720575940620628957,4
720575940639198653,720575940620628957,4
720575940639259967,720575940620628957,4
720575940624963786,720575940620628957,4
720575940640649691,720575940620628957,4
720575940610788069,720575940620628957,4
720575940623172843,720575940620628957,4
720575940628853239,720575940620628957,4
